244,2024-08-17,12344,2024010300268,PRUEBA DE CREACIÓN DESPUÉS DEL CSS,17
132,2024-01-17,14642,2024010018747,,18
131,2024-01-17,13911,2024010018733,,21
27,2024-01-09,14854,2024010046651,,11
58,2024-01-10,15562,2024010046652,,11
86,2024-01-15,14037,2024010014740,,22
91,2024-01-16,15560,2024010016895,,32
94,2024-01-16,13154,2024010016936,,11
95,2024-01-16,12995,2024010016974,,11
96,2024-01-16,15346,2024010017001,,34
98,2024-01-16,12628,2024010017022,,11
99,2024-01-16,14158,2024010017031,,16
101,2024-01-16,14846,2024010017047,,11
102,2024-01-16,13539,2024010017056,,11
103,2024-01-16,12230,2024010017068,,16
104,2024-01-16,14414,2024010017210,,11
105,2024-01-16,12524,2024010017221,,21
106,2024-01-16,12448,2024010017239,,21
107,2024-01-16,13761,2024010017250,,11
108,2024-01-16,15881,2024010017270,,34
110,2024-01-16,12491,2024010017274,,11
112,2024-01-16,14724,2024010017276,,11
113,2024-01-16,15781,2024010017466,,31
114,2024-01-16,15067,2024010017475,,31
115,2024-01-16,15057,2024010017478,,31
116,2024-01-16,15303,2024010017484,,31
117,2024-01-16,15515,2024010017493,,31
118,2024-01-16,15457,2024010017503,,31
119,2024-01-16,15834,2024010017514,,31
120,2024-01-16,15623,2024010017525,,31
121,2024-01-16,15165,2024010017536,,31
122,2024-01-16,17,2024010017546,,31
40,2024-01-10,15774,2024010007424,,1
46,2024-01-10,14102,2024010007569,,15
28,2024-01-09,13593,2024010044471,,8
109,2024-01-16,14390,2024010017273,,14
26,2024-01-09,14757,2024010006197,,6
30,2024-01-10,13715,202401000730,,11
41,2024-01-10,15819,2024010007434,,18
43,2024-01-10,15832,2024010007478,,13
44,2024-01-10,15375,2024010007484,,21
45,2024-01-10,15809,2024010007554,,16
36,2024-01-10,13709,2024010007382,,15
47,2024-01-10,14095,2024010007572,,17
50,2024-01-10,15673,2024010007593,,14
49,2024-01-10,15785,2024010007585,,20
48,2024-01-10,15372,2024010007578,,16
52,2024-01-10,15828,2024010007640,,14
53,2024-01-10,13370,2024010007676,,16
70,2024-01-11,15502,2024010044470,,15
85,2024-01-15,11950,2024010014825,,23
37,2024-01-10,14651,2024010041231,,11
68,2024-01-11,15026,2024010044470,,4
79,2024-01-12,14006,2024010012166,,20
123,2024-01-16,15127,2024010017562,,31
124,2024-01-17,12629,2024010018640,,24
125,2024-01-17,15315,2024010018657,,32
126,2024-01-17,15524,2024010018667,,32
127,2024-01-17,15535,2024010018678,,18
34,2024-08-10,13593,2024010300268,PRUEBA DE CREACIÓN,16
229,2024-08-10,23,2024010232103,PRUEBA DE CREACIÓN ,18
231,2024-08-11,4132,2024010046651,"",9
232,2024-08-11,23,2024010232103,CREACIÓN CON MODULARIZACIÓN DEL BACKEND,20
73,2024-01-11,15586,2024010010373,PRUEBA DE EDICIÓN EN TIEMPO REAL,18
133,2024-01-17,15256,2024010018756,,14
65,2024-01-11,8417,2024010010104,,20
83,2024-01-12,10,2024010012504,,23
233,2024-08-12,4132,2024010300268,"",20
235,2024-08-12,14854,2024010044471,"",1
129,2024-01-17,13796,2024010018713,,21
130,2024-01-17,14288,2024010018724,,21
92,2024-01-16,14225,2024010016910,,2
31,2024-01-10,13030,2024010044470,,17
136,2024-01-17,14858,2024010018827,,31
137,2024-01-17,12311,2024010018853,,11
138,2024-01-17,12308,2024010018867,,11
139,2024-01-17,12328,2024010018884,,11
140,2024-01-17,13889,2024010018898,,31
141,2024-01-17,15115,2024010018909,,11
142,2024-01-17,14892,2024010018924,,11
143,2024-01-17,14669,2024010018939,,16
144,2024-01-17,14465,2024010018959,,11
146,2024-01-17,14022,2024010019010,,11
147,2024-01-17,12625,2024010019016,,22
148,2024-01-17,12635,2024010019027,,22
149,2024-01-17,15507,2024010019056,,20
150,2024-01-17,15768,2024010019059,,15
151,2024-01-17,14904,2024010019090,,7
152,2024-01-17,15350,2024010019117,,22
153,2024-01-17,13835,2024010018816,,11
154,2024-01-17,14244,2024010018825,,22
155,2024-01-17,14162,2024010018833,,11
156,2024-01-17,14157,2024010018845,,11
157,2024-01-17,13921,2024010018855,,11
158,2024-01-17,13652,2024010018866,,11
159,2024-01-17,13550,2024010018879,,11
160,2024-01-17,15177,2024010018894,,7
161,2024-01-17,10855,2024010018904,,11
162,2024-01-17,15339,2024010018926,,22
164,2024-01-17,13212,2024010019000,,11
165,2024-01-17,11047,2024010019007,,11
166,2024-01-17,3,2024010019045,,34
167,2024-01-17,12754,2024010019050,,22
168,2024-01-17,13656,2024010019057,,22
169,2024-01-17,15840,2024010019067,,12
171,2024-01-17,15823,2024010019108,,25
173,2024-01-17,15858,2024010019118,,25
174,2024-01-17,15982,2024010019119,,25
175,2024-01-17,15890,2024010019123,,21
176,2024-01-17,15964,2024010019126,,15
177,2024-01-17,15857,2024010019128,,25
178,2024-01-17,14950,2024010019132,,7
179,2024-01-17,16012,2024010019145,,25
180,2024-01-17,16078,2024010019160,,34
182,2024-01-17,13514,2024010018795,,11
183,2024-01-17,12675,2024010019213,,5
184,2024-01-17,12023,2024010019217,,20
185,2024-01-17,10176,2024010019219,,23
186,2024-01-17,11899,2024010019221,,23
187,2024-01-17,5496,2024010019235,,23
190,2024-01-17,12572,2024010019688,,11
